City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
261,Ayia Paraskevi,GR,51.06,few clouds,40.4833,23.05,HEAVEN HOTEL THESSALONIKI
265,Baiyin,CN,38.28,scattered clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
267,Atchison,US,48.79,overcast clouds,39.563,-95.1216,"Quality Inn, Atchison"
271,Saraland,US,53.62,clear sky,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
274,Gazli,UZ,40.48,clear sky,40.1333,63.45,
275,Vestmannaeyjar,IS,41.31,broken clouds,63.4427,-20.2734,Glamping & Camping
277,Graaff-Reinet,ZA,54.91,overcast clouds,-32.2522,24.5308,Rietjiesbos B&B
290,Janakkala,FI,38.43,broken clouds,60.9,24.6,Sun Hotels Oy
296,Thunder Bay,CA,37.56,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
300,Ancud,CL,47.73,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
305,Maidstone,GB,51.71,scattered clouds,51.2667,0.5167,Grange Moor Hotel
309,Priyutnoye,RU,42.84,overcast clouds,46.1011,43.5072,
313,Meridian,US,46.09,clear sky,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
320,Lata,PT,57.92,overcast clouds,40.1629,-8.3327,Casa Maquia
323,Barcelos,PT,59.14,overcast clouds,41.5388,-8.6151,Hotel Do Terço
325,Dandong,CN,46.92,overcast clouds,40.1292,124.3947,Yiranju Farmstay
327,Punta Umbria,ES,57.24,overcast clouds,37.1821,-6.9661,Barceló Punta Umbría Beach Resort
328,Huejucar,MX,53.56,broken clouds,22.35,-103.2167,Hotel Villarreal
332,Partyzany,UA,44.55,overcast clouds,46.3314,34.7503,
334,Kruisfontein,ZA,59.23,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
336,Sobolevo,RU,44.22,overcast clouds,54.4299,31.8996,
343,Dublin,US,58.28,mist,37.7021,-121.9358,Pleasanton Marriott
345,Qaqortoq,GL,36.1,moderate rain,60.7167,-46.0333,Siniffik Inn
347,Newport,GB,50.86,overcast clouds,51.5877,-2.9984,ibis budget Newport
348,Frontera,MX,56.32,clear sky,26.9333,-101.45,Casagrande Hotel
350,Antigonish,CA,40.93,overcast clouds,45.6169,-61.9986,Claymore Inn and Suites
351,Bronnoysund,NO,42.8,light rain,65.4625,12.1997,Corner Hotel
352,Fortuna,US,52.41,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
361,Garden City,US,36.14,broken clouds,42.3256,-83.331,Quality Inn & Suites Banquet Center
365,Prince Rupert,CA,44.69,moderate rain,54.3161,-130.3201,Crest Hotel
379,Brae,GB,46.31,overcast clouds,60.3964,-1.353,Busta House Hotel
387,Krikellos,GR,53.33,broken clouds,38.95,21.1833,Παραλία Ανοιξιάτικου
393,Halle,DE,52.16,overcast clouds,51.5,12.0,Hotel Schweizer Hof
406,Te Anau,NZ,54.03,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
407,Polson,US,36.72,overcast clouds,47.6936,-114.1632,Americas Best Value Port Polson Inn
410,Ketchikan,US,39.67,moderate rain,55.3422,-131.6461,Snow's Cove Lodge
416,Scarborough,GB,51.62,broken clouds,54.2797,-0.4044,The Grand Hotel Scarborough
423,Marsaxlokk,MT,56.01,few clouds,35.8419,14.5431,Water's Edge
427,Kushiro,JP,45.55,scattered clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
431,Naklo Nad Notecia,PL,52.45,scattered clouds,53.1421,17.6018,ArtCafe
439,Colesberg,ZA,53.96,clear sky,-30.72,25.0972,Bhelekazi Guesthouse
444,Pella,RU,36.03,overcast clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
447,Lasa,IT,43.68,clear sky,46.6166,10.7002,Pension Feldgärtenhof
452,Orleans,US,59.0,clear sky,30.0335,-89.9501,"Holiday Inn Express New Orleans East, an IHG Hotel"
464,Talant,FR,38.01,mist,47.3369,5.0089,Hôtel Restaurant Campanile Dijon Gare
467,Svetlogorsk,BY,47.16,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
469,Reykjavik,IS,35.26,few clouds,64.1355,-21.8954,Center Hotels Plaza
470,Fairlie,GB,51.71,overcast clouds,55.756,-4.8556,Brisbane House Hotel
