City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sept-Iles,CA,50.2001,-66.3821,30.06,69,20,10.0,few clouds
80,Gao,ML,16.6362,1.637,73.51,19,24,11.95,few clouds
81,Yeppoon,AU,-23.1333,150.7333,85.78,55,1,10.42,clear sky
82,Hammerfest,NO,70.6634,23.6821,34.25,93,75,26.46,light rain and snow
83,Waipawa,NZ,-41.4122,175.5153,63.45,38,41,8.37,scattered clouds
84,Konevo,RU,62.1215,39.3192,30.04,96,99,5.46,overcast clouds
85,Ballina,AU,-28.8667,153.5667,87.98,69,75,9.22,broken clouds
86,Provideniya,RU,64.3833,-173.3,11.44,66,1,8.72,clear sky
87,Narsaq,GL,60.9167,-46.05,35.82,95,100,16.15,moderate rain
88,Le Vauclin,MQ,14.5452,-60.8388,77.85,88,20,2.3,few clouds
89,Longyearbyen,SJ,78.2186,15.6401,10.24,52,20,13.8,few clouds
90,New Norfolk,AU,-42.7826,147.0587,60.75,57,80,1.01,broken clouds
91,Gigmoto,PH,13.7796,124.39,83.34,79,72,4.99,broken clouds
92,Taldan,RU,53.6667,124.8,15.48,52,100,0.81,overcast clouds
93,Port Elizabeth,ZA,-33.918,25.5701,57.49,94,0,3.44,light rain
94,Saskylakh,RU,71.9167,114.0833,-20.54,96,40,7.38,scattered clouds
95,Oktyabrskoye,RU,43.0645,44.7417,26.74,100,15,6.71,few clouds
96,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.13,79,29,8.61,scattered clouds
97,Bonavista,CA,48.6499,-53.1147,53.11,88,100,30.13,light rain
98,Vardo,NO,70.3705,31.1107,35.31,85,100,22.1,light rain
99,Saldanha,ZA,-33.0117,17.9442,51.85,77,12,13.33,few clouds
100,Kieta,PG,-6.2167,155.6333,84.02,62,100,7.61,overcast clouds
101,Chokurdakh,RU,70.6333,147.9167,-11.54,98,100,4.38,overcast clouds
102,College,US,64.8569,-147.8028,-15.41,73,20,0.0,few clouds
103,Orito,CO,0.6766,-76.8771,71.42,97,89,3.06,overcast clouds
104,Ilovlya,RU,49.3033,43.9796,33.1,87,67,11.59,broken clouds
105,Dossor,KZ,47.5272,52.9811,29.05,65,63,14.03,broken clouds
106,Coquimbo,CL,-29.9533,-71.3436,56.93,88,90,5.75,overcast clouds
107,Tautira,PF,-17.7333,-149.15,82.42,73,22,16.87,few clouds
108,San Rafael,AR,-34.6177,-68.3301,67.08,49,3,8.01,clear sky
109,Victoria,HK,22.2855,114.1577,82.36,78,28,1.01,scattered clouds
110,Kaoma,ZM,-14.7833,24.8,65.1,96,100,4.65,light rain
111,Berlevag,NO,70.8578,29.0864,34.38,89,100,21.83,light rain
112,Roald,NO,62.5833,6.1333,47.34,83,100,29.39,light rain
113,Kapaa,US,22.0752,-159.319,80.58,79,40,9.22,scattered clouds
114,Madimba,TZ,-10.4,40.3333,82.29,61,78,6.55,broken clouds
115,Cap-Aux-Meules,CA,47.3821,-61.8597,39.22,81,74,17.27,broken clouds
116,Akyab,MM,20.15,92.9,84.61,59,20,2.75,few clouds
117,Grand Island,US,40.925,-98.342,42.03,52,1,4.61,clear sky
118,Nsoko,SZ,-27.0333,31.95,64.72,74,100,3.13,overcast clouds
119,Haines Junction,CA,60.7522,-137.5108,-25.65,75,10,1.14,clear sky
120,Kasempa,ZM,-13.4584,25.8338,65.19,93,96,1.16,light rain
121,Vyartsilya,RU,62.1764,30.693,32.76,78,92,8.79,overcast clouds
122,Batasan,PH,12.7667,120.7833,84.22,71,82,4.9,broken clouds
123,Fairbanks,US,64.8378,-147.7164,-15.39,73,1,0.0,clear sky
124,Adrar,MR,20.5022,-10.0711,72.52,26,100,9.22,overcast clouds
125,Nanortalik,GL,60.1432,-45.2371,33.24,97,100,25.03,snow
126,Muros,ES,42.7762,-9.0603,52.3,66,50,6.58,scattered clouds
127,Adre,TD,13.4667,22.2,68.99,27,0,15.01,clear sky
128,Maraa,BR,-1.8333,-65.3667,73.17,97,98,1.95,overcast clouds
129,Nizhniy Baskunchak,RU,48.2198,46.8311,38.05,80,100,8.1,overcast clouds
130,Bethel,US,41.3712,-73.414,39.49,71,1,0.0,clear sky
131,Nurota,UZ,40.5614,65.6886,33.89,30,0,1.68,clear sky
132,Kodinsk,RU,58.6881,99.1844,6.8,78,99,7.4,overcast clouds
133,Kiama,AU,-34.6833,150.8667,69.01,98,100,11.5,moderate rain
134,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,16.11,scattered clouds
135,Kenai,US,60.5544,-151.2583,-1.97,84,1,0.0,clear sky
136,Port Augusta,AU,-32.5,137.7667,61.7,85,100,10.25,light rain
137,Vanavara,RU,60.34,102.2797,3.29,88,100,6.69,overcast clouds
138,Komsomolskiy,UZ,40.4272,71.7189,36.32,55,0,2.3,clear sky
139,Moussoro,TD,13.6408,16.4901,76.91,21,4,9.82,clear sky
140,Arraial Do Cabo,BR,-22.9661,-42.0278,73.08,92,100,12.75,overcast clouds
141,Ombessa,CM,4.603,11.2565,69.71,97,55,3.31,broken clouds
142,Cernay,FR,47.8097,7.177,40.21,92,12,3.13,few clouds
143,Faanui,PF,-16.4833,-151.75,80.26,79,18,17.18,light rain
144,Hamilton,US,39.1834,-84.5333,33.94,80,1,0.0,clear sky
145,Ocos,GT,14.5094,-92.1933,81.0,80,100,4.56,overcast clouds
146,Broken Hill,AU,-31.95,141.4333,71.31,60,40,10.36,scattered clouds
147,Hilo,US,19.7297,-155.09,74.93,88,90,0.0,overcast clouds
148,Torbay,CA,47.6666,-52.7314,54.28,93,90,28.77,light intensity drizzle
149,Sandnessjoen,NO,66.0217,12.6316,42.78,88,100,5.99,overcast clouds
150,Marzuq,YE,14.4,46.4667,73.06,37,3,3.62,clear sky
151,Talavera De La Reina,ES,39.9635,-4.8308,54.61,77,98,14.52,overcast clouds
152,Husavik,IS,66.0449,-17.3389,31.91,89,100,17.72,light snow
153,Coos Bay,US,43.3665,-124.2179,46.15,99,1,8.05,clear sky
154,Hailar,CN,49.2,119.7,22.44,67,100,4.27,overcast clouds
155,Biloela,AU,-24.4167,150.5,90.45,31,4,3.6,clear sky
156,Tasiilaq,GL,65.6145,-37.6368,26.76,76,100,4.81,overcast clouds
157,Bubaque,GW,11.2833,-15.8333,83.41,68,58,11.03,broken clouds
158,Tucuman,AR,-26.8241,-65.2226,75.2,41,0,13.8,clear sky
159,San Quintin,MX,30.4833,-115.95,59.92,89,89,7.11,overcast clouds
160,Tommot,RU,58.9564,126.2925,-0.56,90,55,0.89,broken clouds
161,Tessalit,ML,20.1986,1.0114,69.6,19,63,9.64,broken clouds
162,Ahipara,NZ,-35.1667,173.1667,68.18,62,69,3.44,broken clouds
163,San Juan Del Sur,NI,11.2529,-85.8705,77.63,83,64,17.92,broken clouds
164,Portland,US,45.5234,-122.6762,46.98,90,75,0.0,broken clouds
165,Kidal,ML,18.4411,1.4078,72.9,14,93,11.18,overcast clouds
166,Ritchie,ZA,-29.038,24.6028,54.61,33,55,12.44,broken clouds
167,Taltal,CL,-25.4,-70.4833,59.81,77,2,0.63,clear sky
168,Akureyri,IS,65.6835,-18.0878,31.93,93,90,8.05,light snow
169,Gizo,SB,-8.103,156.8419,82.99,70,98,4.74,light rain
170,Binabalian,PH,16.4202,119.9279,83.57,70,62,4.38,broken clouds
171,Tuatapere,NZ,-46.1333,167.6833,50.43,95,100,1.92,overcast clouds
172,Vostok,RU,46.4856,135.8833,25.72,73,97,2.68,overcast clouds
173,Kaitangata,NZ,-46.2817,169.8464,52.09,97,100,5.23,moderate rain
174,Chara,RU,56.9064,118.2631,4.8,94,100,1.61,overcast clouds
175,Kavieng,PG,-2.5744,150.7967,83.73,69,92,5.79,light rain
176,Ozinki,RU,51.1786,49.6769,34.02,98,100,15.79,overcast clouds
177,Mar Del Plata,AR,-38.0023,-57.5575,59.09,94,75,5.99,fog
178,Tiznit,MA,29.5833,-9.5,56.01,81,15,2.42,few clouds
179,Kaohsiung,TW,22.6163,120.3133,88.09,71,75,5.99,broken clouds
180,Necochea,AR,-38.5473,-58.7368,47.03,81,0,9.35,clear sky
181,Phek,IN,25.6667,94.5,66.79,39,23,1.34,few clouds
182,Vila Velha,BR,-20.3297,-40.2925,76.95,92,75,5.01,broken clouds
183,Bonthe,SL,7.5264,-12.505,78.67,86,11,2.55,few clouds
184,Khorixas,NA,-20.3667,14.9667,67.32,19,39,2.89,scattered clouds
185,Bethanien,NA,-26.502,17.1583,63.81,35,7,2.71,clear sky
186,San Bartolo,MX,19.1833,-100.05,52.48,82,15,6.87,few clouds
187,Okhotsk,RU,59.3833,143.3,13.21,78,15,14.38,few clouds
188,Leningradskiy,RU,69.3833,178.4167,-3.59,82,90,4.54,overcast clouds
189,Port Blair,IN,11.6667,92.75,84.4,72,66,12.03,broken clouds
190,Viedma,AR,-40.8135,-62.9967,64.96,46,6,19.71,clear sky
191,Ust-Nera,RU,64.5667,143.2,-14.73,100,97,0.85,overcast clouds
192,Faya,SA,18.3851,42.4509,55.51,63,2,6.67,clear sky
193,Severo-Kurilsk,RU,50.6789,156.125,40.32,97,100,15.46,moderate rain
194,Ingham,US,42.6,-84.3833,33.75,81,1,4.61,clear sky
195,Ilulissat,GL,69.2167,-51.1,14.02,44,92,9.22,overcast clouds
196,Kaliua,TZ,-5.0606,31.7936,74.68,55,47,1.57,scattered clouds
197,Taywarah,AF,33.35,64.4167,37.4,28,0,3.27,clear sky
198,Mitsamiouli,KM,-11.3847,43.2844,82.69,65,20,14.97,few clouds
199,Plettenberg Bay,ZA,-34.0527,23.3716,60.42,67,2,1.79,clear sky
200,Wroclaw,PL,51.1,17.0333,51.8,82,75,7.0,broken clouds
201,Batemans Bay,AU,-35.7167,150.1833,58.91,95,100,5.64,light rain
202,Indiana,US,40.0003,-86.2503,35.31,68,1,8.05,clear sky
203,Olafsvik,IS,64.8945,-23.7142,34.54,73,75,13.96,broken clouds
204,Great Yarmouth,GB,52.6083,1.7305,50.25,93,18,10.22,few clouds
205,Burnie,AU,-41.0667,145.9167,68.94,33,5,8.39,clear sky
206,Christchurch,NZ,-43.5333,172.6333,75.4,33,86,11.5,overcast clouds
207,Kedrovyy,RU,56.1667,91.8167,7.21,79,100,9.98,overcast clouds
208,Merrill,US,45.1805,-89.6835,31.77,68,1,5.75,clear sky
209,Yerbogachen,RU,61.2767,108.0108,3.94,89,47,5.32,scattered clouds
210,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,64,0,5.01,clear sky
211,Thompson,CA,55.7435,-97.8558,19.56,93,90,10.36,light snow
212,Raudeberg,NO,61.9875,5.1352,46.2,94,100,11.01,overcast clouds
213,Chumikan,RU,54.7183,135.315,13.3,72,7,15.23,clear sky
214,Sinnamary,GF,5.3833,-52.95,77.05,90,74,5.59,light rain
215,Kiunga,PG,-6.1219,141.2906,84.18,78,99,4.43,overcast clouds
216,Laguna,US,38.421,-121.4238,59.5,87,90,1.99,overcast clouds
217,Batabano,CU,22.7164,-82.2881,75.81,87,95,8.19,overcast clouds
218,Humaita,BR,-7.5061,-63.0208,71.96,98,99,2.19,overcast clouds
219,Linjiang,CN,41.8069,126.9078,44.78,43,0,4.43,clear sky
220,Ponta Delgada,PT,37.7333,-25.6667,65.12,68,20,9.22,few clouds
221,Tokmak,UA,47.2514,35.7058,41.5,91,99,13.27,overcast clouds
222,Grand Gaube,MU,-20.0064,57.6608,80.38,66,0,7.0,clear sky
