City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Sitka,US,2021-11-16 02:04:23,57.0531,-135.33,33.69,80,20,4.61
67,Aquiraz,BR,2021-11-16 02:04:24,-3.9014,-38.3911,86.22,64,76,15.01
68,Nanortalik,GL,2021-11-16 02:04:24,60.1432,-45.2371,19.36,62,0,31.45
69,Oleksandrivka,UA,2021-11-16 02:04:24,48.9634,32.2349,29.21,73,7,6.73
70,Bathsheba,BB,2021-11-16 02:04:25,13.2167,-59.5167,81.21,74,75,20.71
71,Nago,JP,2021-11-16 02:04:25,26.5881,127.9761,77.45,53,42,10.63
72,Dunedin,NZ,2021-11-16 02:04:26,-45.8742,170.5036,62.71,43,100,9.75
73,Carnarvon,AU,2021-11-16 02:04:26,-24.8667,113.6333,71.96,64,42,10.83
74,Guerrero Negro,MX,2021-11-16 02:04:27,27.9769,-114.0611,70.75,57,0,9.48
75,Sakakah,SA,2021-11-16 01:59:33,29.9697,40.2064,51.37,33,18,6.91
76,Luderitz,NA,2021-11-16 02:04:27,-26.6481,15.1594,63.5,71,11,13.85
77,Berlevag,NO,2021-11-16 02:04:27,70.8578,29.0864,41.0,80,100,25.52
78,Bull Savanna,JM,2021-11-16 02:04:28,17.8868,-77.5902,76.1,83,100,4.68
79,Alyangula,AU,2021-11-16 02:04:28,-13.8483,136.4192,88.21,45,100,16.96
80,Fallon,US,2021-11-16 02:04:28,39.4735,-118.7774,62.28,25,100,8.28
81,Batticaloa,LK,2021-11-16 02:04:29,7.7102,81.6924,79.41,80,95,2.71
82,Cidreira,BR,2021-11-16 02:04:29,-30.1811,-50.2056,69.3,86,36,25.21
83,Ghanzi,BW,2021-11-16 02:04:30,-21.5667,21.7833,78.15,35,61,4.38
84,Shurugwi,ZW,2021-11-16 02:04:30,-19.6702,30.0059,65.25,57,3,5.41
85,Thompson,CA,2021-11-16 02:04:25,55.7435,-97.8558,24.26,96,96,6.58
86,Vila Franca Do Campo,PT,2021-11-16 02:04:30,37.7167,-25.4333,65.19,80,75,10.09
87,New Norfolk,AU,2021-11-16 02:04:31,-42.7826,147.0587,56.75,56,96,5.01
88,Mar Del Plata,AR,2021-11-16 02:04:31,-38.0023,-57.5575,64.42,100,90,5.75
89,Hithadhoo,MV,2021-11-16 02:04:31,-0.6,73.0833,82.54,72,72,16.13
90,Bilibino,RU,2021-11-16 02:05:32,68.0546,166.4372,9.21,95,100,3.49
91,Bria,CF,2021-11-16 02:05:32,6.5423,21.9863,67.6,93,65,2.64
92,Sechura,PE,2021-11-16 02:05:33,-5.5569,-80.8222,63.59,83,40,13.0
93,Butaritari,KI,2021-11-16 02:05:33,3.0707,172.7902,82.62,68,86,15.17
94,Freeport,US,2021-11-16 02:01:43,40.6576,-73.5832,44.56,65,1,5.01
95,San Jose,US,2021-11-16 02:04:44,37.3394,-121.895,62.89,82,90,5.75
96,Mariani,IN,2021-11-16 02:05:34,26.6667,94.3333,66.76,78,3,2.57
97,Yellowknife,CA,2021-11-16 02:05:34,62.456,-114.3525,13.41,96,100,5.01
98,Villazon,BO,2021-11-16 02:05:34,-22.0866,-65.5942,60.37,44,91,8.1
99,Riohacha,CO,2021-11-16 02:05:35,11.5444,-72.9072,78.93,77,24,11.83
100,Jamestown,US,2021-11-16 02:00:44,42.097,-79.2353,35.71,100,90,4.0
101,Muyezerskiy,RU,2021-11-16 02:05:35,63.9333,31.65,35.33,90,100,14.92
102,Nalut,LY,2021-11-16 02:05:36,30.3333,10.85,59.25,28,8,9.1
103,Banjar,ID,2021-11-16 02:05:36,-8.19,114.9675,81.9,82,100,3.22
104,Ambon,ID,2021-11-16 02:05:36,-3.6954,128.1814,83.66,71,60,4.07
105,Souillac,MU,2021-11-16 02:01:04,-20.5167,57.5167,75.36,74,16,5.86
